Car Model,Condition,Mileage,Price (USD),Monthly Payment,Dealer Name
2021 BMW 228 Gran Coupe I xDrive Gran Coupe,Used,"26,358 mi.","$26,998",Est. $507/mo,CarMax Harrisonburg
2025 Audi Q5 45 S line Prestige,New,,"$62,540","Est. $1,176/mo",Audi Morton Grove
2023 Audi A4 45 S line Premium Plus,Used,"47,952 mi.","$23,988",Est. $451/mo,S&M Auto Sales
2025 MINI Hardtop Cooper S,New,,"$38,380",Est. $721/mo,MINI of Glencoe North Shore
2015 Cadillac Escalade Premium,Used,"120,043 mi.","$21,715",Est. $408/mo,Bose Motors
2009 Audi A4 2.0T Premium,Used,"95,299 mi.","$6,500",Est. $122/mo,Cars147.com
2025 Cadillac CT4 Luxury,New,,"$42,110",Est. $792/mo,Heritage Cadillac
2024 Audi Q4 e-tron Premium,New,,"$54,385","Est. $1,022/mo",Audi Orland Park
2024 Kia Telluride SX-Prestige X-Pro,New,,"$50,313",Est. $946/mo,International Kia
2022 Mitsubishi Mirage G4 LE,Used,"50,787 mi.","$17,595",Est. $331/mo,DriveTime of Highland
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$71,255","Est. $1,339/mo",Mercedes-Benz of Hoffman Estates
2008 Jeep Liberty Sport,Used,"125,000 mi.","$4,250",,Tim
2021 Cadillac CT4 Premium Luxury,Used,"29,371 mi.","$27,694",Est. $521/mo,Phillips Chevrolet
2018 Acura RDX Advance Package,Used,"56,038 mi.","$20,559",Est. $386/mo,Maserati of Naperville
2008 Chrysler Crossfire Base,Used,"58,824 mi.","$14,999",Est. $282/mo,The Chevrolet Exchange
2025 Lincoln Corsair Premiere,New,,"$51,025",Est. $959/mo,Fair Oaks Lincoln
2019 Ford Transit-350 Base,Used,"72,504 mi.","$28,444",,Mercedes-Benz of Chicago
2024 Ford Mustang Mach-E Select,New,,"$47,332",,Murgado Ford of Chicago
2025 Honda Civic Type R Manual,New,,"$47,145",,Honda City Chicago
2019 Nissan Leaf SL,Used,"46,382 mi.","$14,998",,CarMax Spokane
2019 Toyota Yaris Sedan LE,Used,"8,760 mi.","$19,998",,CarMax Colorado Springs
2020 Audi A6 55 Premium Plus,Used,"60,829 mi.","$24,800",,Wilkins Hyundai
2025 Hyundai Elantra HEV Blue,New,,"$26,771",,AutoNation Hyundai O'Hare
1991 Dodge Stealth R/T,Used,"80,786 mi.","$9,995",,OKAZ MOTORS
2018 Volvo XC90 T6 Momentum,Used,"76,690 mi.","$20,995",,carneed
2016 Mercedes-Benz AMG S AMG S 63 4MATIC,Used,"65,788 mi.","$38,995",Est. $733/mo,Highline Auto Sales
2018 BMW 330 Gran Turismo i xDrive,Used,"100,396 mi.","$15,495",Est. $291/mo,Xchange Motors
1996 Pontiac Firebird Formula 2dr Hatchback,Used,"81,964 mi.","$12,995",Est. $244/mo,MGM Classic Cars
2017 Rolls-Royce Wraith Coupe,Used,"8,285 mi.","$196,868","Est. $3,700/mo",Perillo Downers Grove
2015 Rolls-Royce Wraith 2dr Coupe,Used,"9,588 mi.","$152,813","Est. $2,872/mo",Perillo Downers Grove
2025 Mazda CX-90 PHEV Premium Plus Package,New,,"$57,956","Est. $1,089/mo",Castle Mazda Downers Grove
2014 Ford Shelby GT500 Base,Used,"27,300 mi.","$54,975","Est. $1,033/mo",Star Auto Works
2002 Dodge Viper GTS,Used,"5,258 mi.","$96,995","Est. $1,823/mo",D&M Motorsports
1977 MG MGB Convertible,Used,"57,121 mi.","$12,800",Est. $241/mo,Diamond Motorworks
2021 Audi RS Q8 4.0T,Used,"18,244 mi.","$94,800","Est. $1,782/mo",Chicago Motor Cars
2020 Lamborghini Aventador SVJ LP 770-4 SVJ Roadster! Bronze Zenas! RARE!,Used,"13,559 mi.","$759,800","Est. $14,282/mo",Chicago Motor Cars
2021 Porsche Panamera E-Hybrid 4S,Used,"30,406 mi.","$76,989","Est. $1,447/mo",Alfa Romeo of Naperville
2022 Mazda CX-5 2.5 S Select Package,Used,"8,954 mi.","$23,999",Est. $451/mo,Perillo BMW
2025 Audi Q5 55 S line Premium Plus,New,,"$65,825","Est. $1,237/mo",Fletcher Jones Audi
2025 INFINITI QX60 Luxe,New,,"$58,674","Est. $1,103/mo",Berman Nissan of Chicago
2022 Mazda CX-9 Touring,Used,"26,885 mi.","$27,998",Est. $526/mo,CarMax Easton
2025 Chevrolet Equinox 1LT,New,,"$34,145",Est. $642/mo,Kingdom Chevrolet
2023 Audi Q3 Premium 45 TFSI S line quattro Tiptronic,Used,"39,337 mi.","$27,599",Est. $519/mo,Jack Phelan Chrysler Dodge Jeep RAM
2015 Audi Q5 Premium Plus,Used,"68,850 mi.","$18,998",Est. $357/mo,CarMax Hillside (Eisenhower Expy)
2024 Ford Bronco Black Diamond,New,,"$45,796",Est. $861/mo,Golf Mill Ford
2020 Volvo XC90 T6 Momentum,Used,"81,164 mi.","$27,998",Est. $526/mo,CarMax Baton Rouge
2025 Acura RDX Technology Package,New,,"$48,650",Est. $914/mo,McGrath Acura of Morton Grove
2019 Acura TLX V6 Technology & A-Spec,Used,"74,288 mi.","$21,700",Est. $408/mo,Oakbrook Toyota in Westmont
2014 Audi A4 2.0T Premium Plus,Used,"125,233 mi.","$9,995",Est. $188/mo,Great Lakes Auto House
2018 Nissan Rogue SL,Used,"68,436 mi.","$14,995",Est. $282/mo,Blue Sky Auto Sales - Crestwood
2020 Cadillac Escalade ESV Luxury,Used,"76,359 mi.","$38,895",Est. $731/mo,Jidd Motors Mitsubishi
2014 BMW 640 Gran Coupe i,Used,"113,941 mi.","$15,990",Est. $301/mo,International Car Center
2020 Subaru Forester Premium,Used,"58,282 mi.","$22,998",Est. $432/mo,CarMax Tinley Park
2021 Hyundai Sonata SEL Plus,Hyundai Certified,"33,690 mi.","$21,607",Est. $406/mo,Webb Hyundai Highland
2025 Buick Encore GX Avenir,New,,"$33,290",Est. $626/mo,Napleton's Schaumburg Buick GMC
2019 Audi A4 2.0T Premium Plus,Used,"63,373 mi.","$20,500",Est. $385/mo,Team Toyota
2025 Nissan Rogue SV,New,,"$36,835",Est. $692/mo,Gerald Nissan of Naperville
1989 Ferrari Testarossa Testarossa,Used,"6,230 mi.","$214,900","Est. $4,039/mo",Lake Forest Sports Cars
2017 Mercedes-Benz C-Class C 300 4MATIC,Used,"75,523 mi.","$24,995",Est. $470/mo,Luxury Car Outlet
2024 Ford Bronco Outer Banks,New,,"$52,836",Est. $993/mo,Murgado Ford of Chicago
2025 Nissan Rogue S,New,,"$31,567",Est. $593/mo,Berman Nissan of Chicago
2018 Audi A3 2.0T Tech Premium,Used,"129,161 mi.","$10,995",Est. $207/mo,Blue Sky Auto Sales - Brighton Park
2014 Nissan Rogue Select S,Used,"74,833 mi.","$12,998",Est. $244/mo,CarMax Sacramento South
2021 Honda Accord Hybrid EX,Used,"76,951 mi.","$23,497",Est. $442/mo,Honda City Chicago
2024 Toyota Corolla Cross LE,Used,"5,440 mi.","$27,998",Est. $526/mo,CarMax Nashville
2017 Mitsubishi Lancer,Used,"84,453 mi.","$12,896",Est. $242/mo,Golf Mill Ford
2024 Volkswagen Atlas Cross Sport 2.0T SEL R-Line,New,,"$45,074",Est. $847/mo,The Autobarn Volkswagen of Countryside
2025 Chevrolet Equinox AWD RS,New,,"$37,375",Est. $703/mo,Golf Mill Chevrolet
2025 Acura RDX Advance Package,New,,"$55,800","Est. $1,049/mo",McGrath Acura of Westmont
2025 MINI Hardtop Cooper S,New,,"$40,580",Est. $763/mo,MINI of Glencoe North Shore
2021 Nissan Rogue SV,Used,"65,661 mi.","$19,797",Est. $372/mo,Napleton River Oaks Hyundai Kia
2025 Hyundai Santa Fe SEL 2.4,New,,"$38,859",Est. $730/mo,Napleton River Oaks Hyundai Kia
2025 Nissan Kicks SV,New,,"$27,160",Est. $511/mo,Bill Kay Downers Grove Nissan
2025 Nissan Rogue Rock Creek,New,,"$36,553",Est. $687/mo,Glendale Nissan
2013 Lexus ES 350 Base,Used,"124,868 mi.","$12,995",Est. $244/mo,Exclusive Auto Haus
2025 Hyundai Tucson Limited,New,,"$39,223",Est. $737/mo,Patrick Hyundai of Schaumburg
2021 Volkswagen Tiguan SE,Used,"59,647 mi.","$21,998",Est. $413/mo,CarMax Schaumburg
2025 Cadillac LYRIQ Luxury w/1SC,New,,"$64,640","Est. $1,215/mo",Arnie Bauer Cadillac
2021 Honda Pilot AWD Elite,Used,"51,713 mi.","$31,881",Est. $599/mo,South Oak Dodge Chrysler Jeep RAM
2024 Jeep Grand Cherokee L Limited,New,,"$47,510",Est. $893/mo,Bettenhausen Chrysler Dodge Jeep RAM
2025 Subaru Ascent Onyx Edition 7-Passenger,New,,"$41,000",Est. $771/mo,Subaru Evergreen Park
2025 Jeep Compass Latitude,New,,"$30,355",Est. $571/mo,Berman Chrysler Dodge Jeep Ram
2025 Nissan Altima S FWD,New,,"$26,122",Est. $491/mo,Old Orchard Nissan
2016 MINI Clubman,Used,"60,924 mi.","$15,998",Est. $301/mo,CarMax Killeen
2014 BMW X1 SDrive28i,Used,"53,471 mi.","$14,998",Est. $282/mo,CarMax Buford
2024 BMW 530 i xDrive,Used,"20,042 mi.","$42,895",Est. $806/mo,Countryside Mitsubishi
2025 Ford Maverick XLT,New,,"$35,740",Est. $672/mo,Napleton Ford of Oak Lawn
2019 Honda Passport EX-L,Used,"94,238 mi.","$19,495",Est. $366/mo,Napleton Honda of Morton Grove
2025 Ford Explorer Active,New,,"$45,627",Est. $858/mo,Golf Mill Ford
2012 GMC Acadia SL,Used,"125,210 mi.","$5,999",Est. $113/mo,Premier Auto Works Inc
2025 Audi Q5 45 S line Premium Plus,New,,"$58,175","Est. $1,093/mo",Audi Westmont
2025 Audi Q5 45 S line Premium Plus,New,,"$59,125","Est. $1,111/mo",Audi Westmont
2016 Cadillac ATS 2.0L Turbo Performance,Used,"90,729 mi.","$13,990",Est. $263/mo,Auto Gallery Chicago
2025 Jeep Grand Cherokee L Altitude,New,,"$42,632",Est. $801/mo,Napleton's River Oaks Chrysler Jeep Dodge RAM
2025 Lincoln Corsair Reserve,New,,"$48,735",Est. $916/mo,Joe Rizza Ford Lincoln
2025 Kia Carnival Hybrid EX,New,,"$45,010",Est. $846/mo,International Kia
2025 Audi Q5 45 S line Premium Plus,New,,"$59,340","Est. $1,115/mo",The Audi Exchange
2025 Honda HR-V Sport,New,,"$29,823",Est. $561/mo,Honda of Lisle
2024 Audi Q3 45 S line Premium Plus,Audi Certified,"3,112 mi.","$37,340",Est. $702/mo,The Audi Exchange
2022 GMC Terrain SLE,Used,"51,567 mi.","$20,295",Est. $381/mo,Napleton's Arlington Heights Chrysler Dodge Jeep RAM
2020 Volvo XC60 T6 Inscription,Used,"75,323 mi.","$25,870",Est. $486/mo,Land Rover Schaumburg
2019 Honda Passport Elite,Used,"42,654 mi.","$26,955",Est. $507/mo,Mercedes-Benz of Naperville
2024 Mercedes-Benz GLC 300 4MATIC,Used,"15,880 mi.","$49,944",Est. $939/mo,Mercedes-Benz of Chicago
2025 Nissan Kicks SR,New,,"$28,969",Est. $545/mo,Berman Nissan of Chicago
2025 Nissan Kicks SV,New,,"$26,665",Est. $501/mo,Berman Nissan of Chicago
2023 Kia Sportage EX,Used,"29,431 mi.","$24,998",Est. $470/mo,CarMax Warner Robins
2025 Honda Accord Hybrid Base,New,,"$33,169",Est. $623/mo,McGrath City Honda
2020 Ford EcoSport Titanium,Used,"54,240 mi.","$15,998",Est. $301/mo,CarMax Roswell
2025 Volkswagen Atlas Cross Sport 2.0T SE w/Technology,New,,"$43,808",Est. $823/mo,The Autobarn Volkswagen of Countryside
2023 Toyota Highlander L,Used,"25,837 mi.","$34,998",Est. $658/mo,CarMax Oak Lawn
2024 Chevrolet Colorado LT,New,,"$38,489",Est. $723/mo,Castle Chevrolet of Villa Park
2016 Audi S7 4.0T,Used,"57,000 mi.","$31,000",Est. $583/mo,Jason
2025 Subaru Forester Premium,Subaru Certified,"25,045 mi.","$30,961",Est. $582/mo,Grand Subaru
2025 Mercedes-Benz GLE 350 4MATIC,New,,"$73,245","Est. $1,377/mo",Mercedes-Benz of Westmont
2020 Tesla Model 3 Performance,Used,"35,620 mi.","$27,980",Est. $526/mo,Ultimo Motors East
2025 Genesis GV70 2.5T,New,,"$48,639",Est. $914/mo,Genesis of Downers Grove
2025 Hyundai Tucson SEL Convenience,New,,"$34,131",Est. $642/mo,Patrick Hyundai of Schaumburg
2025 Chevrolet Silverado 2500 Custom,New,,"$58,825","Est. $1,106/mo",Garber Chevrolet Highland
2025 Nissan Rogue SV,New,,"$26,930",Est. $506/mo,Arlington Nissan
2012 Toyota Prius,Used,"122,847 mi.","$9,500",Est. $179/mo,Thomas Kia of Highland
2025 Nissan Pathfinder Platinum,New,,"$52,866",Est. $994/mo,Woodfield Nissan
2025 Subaru Crosstrek Limited,New,,"$36,304",Est. $682/mo,Napleton's Schaumburg Subaru
2025 Nissan Versa 1.6 SV,New,,"$21,778",Est. $409/mo,Woodfield Nissan
2025 Honda Civic Sport,New,,"$27,260",Est. $512/mo,Honda of Downtown Chicago
2024 Mercedes-Benz GLC 300 4MATIC,Mercedes-Benz Certified,"9,902 mi.","$49,444",Est. $929/mo,Mercedes-Benz of Chicago
2025 Toyota Corolla Cross Hybrid XSE,New,,"$36,209",Est. $681/mo,Chicago Northside Toyota
2022 MINI Hardtop S,Used,"12,139 mi.","$27,998",Est. $526/mo,CarMax Lexington
2020 Hyundai IONIQ Hybrid SEL,Used,"50,090 mi.","$18,998",Est. $357/mo,CarMax Augusta
2024 Subaru Crosstrek Premium,New,,"$29,857",Est. $561/mo,The Autobarn Countryside Subaru
2025 Nissan Altima 2.5 SL,New,,"$34,289",Est. $645/mo,Old Orchard Nissan
2024 Chevrolet Colorado WT,New,,"$30,385",Est. $571/mo,Golf Mill Chevrolet
2023 Genesis GV80 3.5T,Used,"14,375 mi.","$51,774",Est. $973/mo,Napleton Hyundai of Glenview
2021 Subaru Crosstrek Limited,Used,"43,163 mi.","$22,905",Est. $431/mo,McGrath Lexus of Westmont
2025 Cadillac XT4 Premium Luxury,New,,"$52,510",Est. $987/mo,Rizza Cadillac Buick GMC
2022 INFINITI QX55 SENSORY,INFINITI Certified,"34,503 mi.","$33,300",Est. $626/mo,INFINITI of Orland Park A Zeigler Auto Group Company
2025 Kia Sportage SX-Prestige,New,,"$38,935",Est. $732/mo,Thomas Kia of Highland
2024 Volkswagen Tiguan 2.0T SE R-Line Black 4MOTION,New,,"$34,215",Est. $643/mo,City Volkswagen of Highland
2024 GMC Terrain SLT,New,,"$31,915",Est. $600/mo,Napleton's Schaumburg Buick GMC
2018 Jaguar F-TYPE R,Used,"40,890 mi.","$43,785",Est. $823/mo,Jaguar Schaumburg
2025 Jeep Grand Cherokee Limited X,New,,"$47,250",Est. $888/mo,South Oak Dodge Chrysler Jeep RAM
2025 Mercedes-Benz Sprinter 2500 High Roof,New,,"$81,095","Est. $1,524/mo",Mercedes-Benz of Hoffman Estates
2022 Lincoln Corsair Reserve,Used,"22,655 mi.","$33,691",Est. $633/mo,Sutton Ford
2024 Hyundai IONIQ 6 SEL,New,,"$43,416",Est. $816/mo,Hyundai of Palatine
2025 Nissan Sentra SV,New,,"$25,220",Est. $474/mo,Gerald Nissan of Naperville
2025 Chrysler Pacifica Select,New,,"$40,841",Est. $768/mo,Castle Chrysler Dodge Jeep Ram of Naperville
2025 BMW X1 M35i,New,,"$53,270","Est. $1,001/mo",Perillo BMW
2025 Honda Civic Sport,New,,"$25,756",Est. $484/mo,Honda of Downtown Chicago
2024 Nissan Kicks SR,Nissan Certified,414 mi.,"$22,982",Est. $432/mo,Berman Nissan of Chicago
2022 Ford F-350 XL,Used,"33,950 mi.","$40,998",Est. $771/mo,CarMax Orlando
2025 Jeep Grand Cherokee Laredo,New,,"$35,875",Est. $674/mo,Marino Chrysler Jeep Dodge RAM
2024 Jeep Grand Cherokee L Limited,New,,"$42,190",Est. $793/mo,Marino Chrysler Jeep Dodge RAM
2025 Buick Envision Sport Touring,New,,"$41,745",Est. $785/mo,Ray Buick
2025 Nissan Kicks SV,New,,"$27,160",Est. $511/mo,Al Piemonte Nissan
2019 BMW X3 XDrive30i,Used,"63,285 mi.","$23,998",Est. $451/mo,CarMax Jacksonville NC
2025 Mazda CX-50 2.5 S Premium Plus Package,New,,"$38,383",Est. $721/mo,Napleton's Oak Lawn Mazda
2025 Toyota Crown Signia Limited,New,,"$51,455",Est. $967/mo,Continental Toyota
2021 Volkswagen Atlas Cross Sport 2.0T SEL,Used,"38,041 mi.","$27,800",Est. $523/mo,Larry Roesch Volkswagen
2022 Hyundai Accent SE 4dr Sedan,Used,"65,173 mi.","$10,900",Est. $205/mo,Great Lakes Auto House
2019 Mercedes-Benz C-Class C 300,Used,"45,608 mi.","$27,300",Est. $513/mo,Napleton Porsche of Westmont
2015 Cadillac Escalade Luxury,Used,"86,201 mi.","$25,950",Est. $488/mo,Chicago Motor Credit
2025 Nissan Rogue SV,New,,"$34,880",Est. $656/mo,Glendale Nissan
2025 Chevrolet Silverado 2500 LT,New,,"$75,525","Est. $1,420/mo",Garber Chevrolet Highland
2023 Ford F-150 XLT,New,,"$43,590",Est. $819/mo,Webb Ford
2025 Lincoln Nautilus Premiere,New,,"$53,955","Est. $1,014/mo",Fair Oaks Lincoln
2024 Ford F-150 Lightning Pro,New,,"$55,885","Est. $1,050/mo",Haggerty Ford
2025 Buick Envista Sport Touring FWD,New,,"$25,740",Est. $484/mo,Woody Buick GMC Naperville
2025 INFINITI QX60 Luxe,New,,"$60,498",,Berman Nissan of Chicago
2025 Subaru Forester 2.5i Limited,Subaru Certified,"1,291 mi.","$34,877",,Berman Subaru of Chicago
2024 Jeep Grand Cherokee L Laredo,New,,"$42,345",,Hawk CDJR
2022 Volkswagen Taos SEL,Used,"12,208 mi.","$26,998",Est. $507/mo,CarMax Salisbury
2023 Dodge Durango GT Plus,Used,"38,767 mi.","$29,998",Est. $564/mo,CarMax Palm Desert
2025 Honda CR-V EX-L,New,,"$37,895",Est. $712/mo,Gerald Honda of Countryside
2021 Jeep Grand Cherokee Limited,Used,"50,823 mi.","$25,998",Est. $489/mo,CarMax Hillside (Eisenhower Expy)
2024 Volkswagen Tiguan 2.0T Wolfsburg Edition,New,,"$32,968",Est. $620/mo,Jennings Chevy / VW
2025 Audi Q5 45 S line Premium Plus,New,,"$59,950","Est. $1,127/mo",Audi Morton Grove
2022 Volkswagen Atlas Cross Sport 2.0T SE w/Technology 4MOTION,Volkswagen Certified,"30,826 mi.","$28,000",Est. $526/mo,Larry Roesch Volkswagen
2024 Chevrolet Trax LT,Used,"13,817 mi.","$18,400",Est. $346/mo,Mike's Auto Forum
2025 Kia Sportage Hybrid LX,New,,"$32,335",Est. $608/mo,Willowbrook Ford Kia
2016 Land Rover Range Rover 5.0L Supercharged,Used,"68,563 mi.","$23,945",Est. $450/mo,Top Gear Motors
2022 Ford Edge Titanium,Used,"35,684 mi.","$23,198",Est. $436/mo,94 Nissan Of South Holland
2024 Mercedes-Benz C-Class C 300,Used,"5,743 mi.","$48,991",Est. $921/mo,Mercedes-Benz of Orland Park
2019 Ford F-150 XLT,Used,"77,665 mi.","$23,975",Est. $451/mo,Arlington Heights Buick GMC
2024 GMC Yukon XL SLT,New,,"$70,390","Est. $1,323/mo",Napleton's Schaumburg Buick GMC
2024 Mercedes-Benz Sprinter 3500 High Roof,Used,"3,001 mi.","$61,799","Est. $1,162/mo",Mercedes-Benz of Hoffman Estates
2025 Nissan Pathfinder Platinum,New,,"$50,253",Est. $945/mo,Woodfield Nissan
2024 Chevrolet Corvette Z06,Used,"1,717 mi.","$129,800","Est. $2,440/mo",Chicago Motor Cars
2025 Land Rover Range Rover 3.0L V6 Supercharged HSE,New,,"$85,575","Est. $1,609/mo",Land Rover Jaguar Naperville
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$30,139",Est. $567/mo,Bill Jacobs VW
2024 Volkswagen Tiguan 2.0T S 4MOTION,New,,"$31,304",Est. $588/mo,Volkswagen of Downtown Chicago
2020 Mercedes-Benz Sprinter 2500 High Roof,Used,"74,844 mi.","$53,700","Est. $1,009/mo",West Chicago Auto Mall
2025 INFINITI QX60 SENSORY,New,,"$62,820","Est. $1,181/mo",Berman Nissan of Chicago
2022 Acura ILX Premium A-Spec,Used,"44,046 mi.","$24,998",Est. $470/mo,CarMax Virginia Beach
2023 Toyota Corolla Cross LE,Used,"5,515 mi.","$27,995",Est. $526/mo,Toyota On Western
2022 GMC Sierra 1500 Elevation,Used,"35,877 mi.","$42,997",Est. $808/mo,Zeigler Ford of North Riverside
2021 Mercedes-Benz AMG A 35,Used,"32,613 mi.","$32,998",Est. $620/mo,CarMax Potomac Mills
2025 Jeep Compass Latitude,New,,"$31,627",Est. $594/mo,Jack Phelan Chrysler Dodge Jeep RAM
2025 Acura RDX A-Spec,New,,"$52,250",Est. $982/mo,McGrath Acura of Morton Grove
2023 Mercedes-Benz Sprinter 2500 Standard Roof,Used,445 mi.,"$63,999","Est. $1,203/mo",Ultimo Motors North Shore
2017 Audi A4 2.0T ultra Premium,Used,"109,255 mi.","$11,490",Est. $216/mo,International Car Center
1999 Chevrolet Suburban 1500,Used,"199,124 mi.","$8,400",Est. $158/mo,Carl
2018 Audi A4 2.0T Premium,Used,"79,168 mi.","$20,990",Est. $395/mo,International Car Center
2024 Ford Ranger XLT,New,,"$41,257",Est. $775/mo,Ford of Homewood
2017 Honda Civic LX-P,Used,"103,503 mi.","$13,500",Est. $254/mo,Schaumburg Honda Automobiles
2025 Hyundai Tucson SEL,New,,"$32,088",Est. $603/mo,Patrick Hyundai of Schaumburg
2025 Mazda Mazda3 FWD w/Select Package,New,,"$26,857",Est. $505/mo,Napleton's Schaumburg Mazda
2024 Ford Maverick XLT,New,,"$30,396",Est. $571/mo,Arlington Heights Ford
2025 Hyundai Tucson SEL Convenience,New,,"$36,705",Est. $690/mo,Hyundai of Palatine
2025 Acura RDX Advance Package,New,,"$54,400","Est. $1,023/mo",Arlington Acura in Palatine
2024 Toyota Tacoma TRD Sport,New,,"$48,910",Est. $919/mo,Toyota of Naperville
2022 Ford Escape SE,Ford Certified,"13,096 mi.","$22,995",Est. $432/mo,Haggerty Ford
2025 Kia Sportage Hybrid EX,New,,"$34,335",Est. $645/mo,Berwyn Kia
2023 Porsche Panamera Turbo S,Used,"2,577 mi.","$169,995","Est. $3,195/mo",Porsche Lincolnwood
2025 Jeep Grand Cherokee L Altitude,New,,"$41,177",Est. $774/mo,Berman Chrysler Dodge Jeep Ram
2021 Mercedes-Benz AMG A 35,Used,"32,613 mi.","$32,998",Est. $620/mo,CarMax Potomac Mills
2024 Kia Seltos SX,Used,"11,865 mi.","$25,998",Est. $489/mo,CarMax Oxnard
2024 Ford F-250 XL,New,,"$47,417",Est. $891/mo,Golf Mill Ford
2022 Chevrolet Trax LT,Chevrolet Certified,"45,214 mi.","$17,672",Est. $332/mo,Advantage Chevrolet
2025 Acura RDX A-Spec,New,,"$52,250",Est. $982/mo,McGrath Acura of Morton Grove
2024 Volkswagen Tiguan 2.0T SE R-Line Black,New,,"$35,731",Est. $672/mo,Jennings Chevy / VW
2025 Hyundai Elantra SEL Sport,New,,"$24,176",Est. $454/mo,Wilkins Hyundai
2024 Ford Escape Active,Used,"12,665 mi.","$23,684",Est. $445/mo,Hertz Car Sales Des Plaines
2025 Audi Q5 45 S line Premium Plus,New,,"$59,340","Est. $1,115/mo",Audi Westmont
2015 GMC Terrain SLE-1,Used,"88,276 mi.","$10,750",Est. $202/mo,Revved Motors
2019 Subaru Forester Sport,Used,"124,566 mi.","$15,950",Est. $300/mo,Zone Motors
2022 GMC Acadia AWD SLT,Used,"26,682 mi.","$29,778",Est. $560/mo,Heritage Cadillac
2025 Honda Civic Sport,New,,"$27,400",Est. $515/mo,Community Honda of Orland Park
2014 Jeep Grand Cherokee Limited,Used,"102,930 mi.","$13,777",Est. $259/mo,Bettenhausen Fiat
2025 BMW X7 xDrive40i,New,,"$94,805","Est. $1,782/mo",BMW of Orland Park
2025 Subaru Outback Wilderness,New,,"$42,664",Est. $802/mo,Napleton's Schaumburg Subaru
2023 Honda Passport AWD TrailSport,Honda Certified,"20,012 mi.","$36,725",Est. $690/mo,Gerald Honda of Matteson
2025 Ford Explorer Active,New,,"$44,478",Est. $836/mo,Currie Motors Ford of Frankfort
2025 Nissan Rogue S,New,,"$33,145",Est. $623/mo,Gerald Nissan of Naperville
2025 Mercedes-Benz GLE-Class AMG GLE 53,New,,"$99,195","Est. $1,865/mo",Mercedes-Benz of Chicago
2025 Jeep Grand Cherokee Altitude,New,,"$39,030",Est. $734/mo,Marino Chrysler Jeep Dodge RAM
2025 Chrysler Pacifica Limited,New,,"$49,535",Est. $931/mo,Marino Chrysler Jeep Dodge RAM
2023 Mitsubishi Eclipse Cross LE,Used,"46,183 mi.","$20,998",Est. $395/mo,CarMax Austin North
2025 Buick Encore GX Preferred,New,,"$28,497",Est. $536/mo,Zeigler Buick GMC of Lincolnwood
2016 Hyundai Sonata Limited,Used,"85,010 mi.","$13,495",Est. $254/mo,The Autobarn Mazda of Evanston
2024 Ford Maverick Lariat,New,,"$37,620",Est. $707/mo,Al Piemonte Ford
2025 Jeep Compass Latitude,New,,"$28,360",Est. $533/mo,Berman Chrysler Dodge Jeep Ram
2018 Mercedes-Benz CLA 250,Used,"49,239 mi.","$19,998",Est. $376/mo,CarMax Oceanside
2024 Lincoln Nautilus Reserve,New,,"$67,034","Est. $1,260/mo",Napleton Lincoln of Glenview
2019 GMC Acadia SLT-1,Used,"64,336 mi.","$20,800",Est. $391/mo,Al Piemonte Buick GMC
2008 Lexus ES 350 Base,Used,"55,867 mi.","$16,995",Est. $319/mo,Fields Lexus Glenview
2025 BMW X7 xDrive40i,New,,"$95,775","Est. $1,800/mo",Laurel BMW of Westmont
2004 Hyundai Accent GL,Used,"19,184 mi.","$4,995",,Auto Select
2016 Chevrolet Tahoe LTZ,Used,"117,957 mi.","$23,731",Est. $446/mo,Toyota of Naperville
2024 BMW 330 i xDrive,BMW Certified,"3,743 mi.","$43,995",Est. $827/mo,Knauz Auto Park
2024 Ford Bronco Raptor,New,,"$88,025","Est. $1,655/mo",Haggerty Ford
2024 INEOS Grenadier Trialmaster,New,,"$76,575","Est. $1,439/mo",Knauz Ineos Grenadier of Lake Bluff
2024 INEOS Grenadier Trialmaster,New,,"$82,645","Est. $1,553/mo",Knauz Ineos Grenadier of Lake Bluff
2011 Dodge Charger V6,Used,"139,889 mi.","$6,990",Est. $131/mo,NB Motors Inc
2025 Land Rover Range Rover P400 SE,New,,"$123,830","Est. $2,328/mo",Land Rover Jaguar Naperville
2016 Mercedes-Benz C-Class C 300 4MATIC Sport,Used,"89,007 mi.","$15,995",Est. $301/mo,Luxury Car Outlet
2025 Lexus RX 350h Premium Plus,New,,"$62,259","Est. $1,170/mo",McGrath Lexus Chicago
2011 Chevrolet Aveo LT,Used,"120,849 mi.","$5,450",Est. $102/mo,Global Auto Finance & Lease
2025 RAM ProMaster 1500 Low Roof,New,,"$48,429",Est. $910/mo,Jack Phelan Chrysler Dodge Jeep RAM
2020 Toyota Prius XLE,Used,"35,729 mi.","$24,998",Est. $470/mo,CarMax Jackson (TN)
2017 Mazda Mazda3 Sport,Used,"55,900 mi.","$17,998",Est. $338/mo,CarMax Shreveport
2022 Audi e-tron S Premium Plus,Used,"15,286 mi.","$33,472",Est. $629/mo,Old Orchard Nissan
2022 Ford Bronco Sport Badlands,Used,"24,846 mi.","$32,887",Est. $618/mo,Glenview Luxury Imports
2022 BMW 530e Base,BMW Certified,"15,614 mi.","$36,990",Est. $695/mo,Fields BMW of Northfield
